2019-09-12 19:24:33.2731 | Thread: 1 | INFO  | renade.Renade        | RenadeMP set up.
2019-09-12 19:24:33.2731 | Thread: 1 | INFO  | renade.Renade        | ==================================================================
2019-09-12 19:24:33.2870 | Thread: 5 | INFO  | renade.Renade        | ------------------------------------------------------------------
2019-09-12 19:24:33.2870 | Thread: 5 | INFO  | renade.Renade        | Global timer triggered. (Current time: 12/09/2019 19:24:33 +03:00)
2019-09-12 19:24:33.3223 | Thread: 5 | INFO  | renade.Principal     | Removing temporary bans...
2019-09-12 19:24:33.7602 | Thread: 1 | INFO  | renade.Renade        | Server time set.
2019-09-12 19:24:33.8575 | Thread: 5 | INFO  | renade.Principal     | 0 ban(s) removed.
2019-09-12 19:24:33.8575 | Thread: 5 | INFO  | renade.Renade        | Global timer executed.
2019-09-12 19:24:33.8575 | Thread: 5 | INFO  | renade.Renade        | ------------------------------------------------------------------
2019-09-12 19:25:33.2892 | Thread: 12 | INFO  | renade.Renade        | ------------------------------------------------------------------
2019-09-12 19:25:33.2892 | Thread: 12 | INFO  | renade.Renade        | Global timer triggered. (Current time: 12/09/2019 19:25:33 +03:00)
2019-09-12 19:25:33.2892 | Thread: 12 | INFO  | renade.Principal     | Removing temporary bans...
2019-09-12 19:25:33.2892 | Thread: 12 | INFO  | renade.Principal     | 0 ban(s) removed.
2019-09-12 19:25:33.2892 | Thread: 12 | INFO  | renade.Renade        | Global timer executed.
2019-09-12 19:25:33.2892 | Thread: 12 | INFO  | renade.Renade        | ------------------------------------------------------------------
2019-09-12 19:25:33.3225 | Thread: 1 | INFO  | renade.Renade        | Server time set.
2019-09-12 19:26:32.8284 | Thread: 1 | INFO  | renade.Renade        | Online: 0 (Authorized: 0 / Unauthorized: 0) - DeftEx has been connected.
2019-09-12 19:26:33.2823 | Thread: 11 | INFO  | renade.Renade        | ------------------------------------------------------------------
2019-09-12 19:26:33.2823 | Thread: 11 | INFO  | renade.Renade        | Global timer triggered. (Current time: 12/09/2019 19:26:33 +03:00)
2019-09-12 19:26:33.2823 | Thread: 11 | INFO  | renade.Principal     | Removing temporary bans...
2019-09-12 19:26:33.2823 | Thread: 11 | INFO  | renade.Principal     | 0 ban(s) removed.
2019-09-12 19:26:33.2823 | Thread: 11 | INFO  | renade.Renade        | Global timer executed.
2019-09-12 19:26:33.2823 | Thread: 11 | INFO  | renade.Renade        | ------------------------------------------------------------------
2019-09-12 19:26:33.2823 | Thread: 1 | INFO  | renade.Renade        | Server time set.
2019-09-12 19:26:38.5475 | Thread: 1 | ERROR | renade.Renade        | System.Data.SqlTypes.SqlNullValueException: Data is Null. This method or property cannot be called on Null values.
   at MySql.Data.MySqlClient.MySqlDataReader.GetFieldValue(Int32 index, Boolean checkNull)
   at MySql.Data.MySqlClient.MySqlDataReader.GetInt64(Int32 i)
   at renade.PlayerRepo.GetPlayerByLogin(String login) in C:\RAGEMP\server-files\bridge\resources\renade\System\PlayerRepo.cs:line 221
   at renade.Renade.LoginPlayer(Client player, String loginOrMail, String password) in C:\RAGEMP\server-files\bridge\resources\renade\Renade.cs:line 172
2019-09-12 19:26:42.0286 | Thread: 1 | ERROR | renade.Renade        | System.Data.SqlTypes.SqlNullValueException: Data is Null. This method or property cannot be called on Null values.
   at MySql.Data.MySqlClient.MySqlDataReader.GetFieldValue(Int32 index, Boolean checkNull)
   at MySql.Data.MySqlClient.MySqlDataReader.GetInt64(Int32 i)
   at renade.PlayerRepo.GetPlayerByLogin(String login) in C:\RAGEMP\server-files\bridge\resources\renade\System\PlayerRepo.cs:line 221
   at renade.Renade.LoginPlayer(Client player, String loginOrMail, String password) in C:\RAGEMP\server-files\bridge\resources\renade\Renade.cs:line 172
2019-09-12 19:26:45.7813 | Thread: 1 | ERROR | renade.Renade        | System.Data.SqlTypes.SqlNullValueException: Data is Null. This method or property cannot be called on Null values.
   at MySql.Data.MySqlClient.MySqlDataReader.GetFieldValue(Int32 index, Boolean checkNull)
   at MySql.Data.MySqlClient.MySqlDataReader.GetInt64(Int32 i)
   at renade.PlayerRepo.GetPlayerByLogin(String login) in C:\RAGEMP\server-files\bridge\resources\renade\System\PlayerRepo.cs:line 221
   at renade.Renade.LoginPlayer(Client player, String loginOrMail, String password) in C:\RAGEMP\server-files\bridge\resources\renade\Renade.cs:line 172
2019-09-12 19:27:33.2910 | Thread: 10 | INFO  | renade.Renade        | ------------------------------------------------------------------
2019-09-12 19:27:33.2910 | Thread: 10 | INFO  | renade.Renade        | Global timer triggered. (Current time: 12/09/2019 19:27:33 +03:00)
2019-09-12 19:27:33.2910 | Thread: 10 | INFO  | renade.Principal     | Removing temporary bans...
2019-09-12 19:27:33.2910 | Thread: 10 | INFO  | renade.Principal     | 0 ban(s) removed.
2019-09-12 19:27:33.2910 | Thread: 10 | INFO  | renade.Renade        | Global timer executed.
2019-09-12 19:27:33.2910 | Thread: 10 | INFO  | renade.Renade        | ------------------------------------------------------------------
2019-09-12 19:27:33.2958 | Thread: 1 | INFO  | renade.Renade        | Server time set.
2019-09-12 19:28:50.4626 | Thread: 1 | INFO  | renade.Renade        | ==================================================================
2019-09-12 19:28:50.4823 | Thread: 1 | INFO  | renade.Renade        | Setting up RenadeMP...
2019-09-12 19:28:50.4823 | Thread: 1 | INFO  | renade.Renade        | Processing config...
2019-09-12 19:28:50.4839 | Thread: 1 | INFO  | renade.Renade        | Config processed.
2019-09-12 19:28:50.4839 | Thread: 1 | INFO  | renade.Renade        | Setting up database...
2019-09-12 19:28:50.4839 | Thread: 1 | INFO  | renade.Renade        | Database set up.
2019-09-12 19:28:50.4839 | Thread: 1 | INFO  | renade.Renade        | Setting up principal...
2019-09-12 19:28:50.4839 | Thread: 1 | INFO  | renade.Renade        | Principal set up.
2019-09-12 19:28:50.4839 | Thread: 1 | INFO  | renade.Renade        | Setting up global timer...
2019-09-12 19:28:50.4839 | Thread: 1 | INFO  | renade.Renade        | Global timer set up.
2019-09-12 19:28:50.4839 | Thread: 1 | INFO  | renade.Renade        | RenadeMP set up.
2019-09-12 19:28:50.4839 | Thread: 1 | INFO  | renade.Renade        | ==================================================================
2019-09-12 19:28:50.5299 | Thread: 6 | INFO  | renade.Renade        | ------------------------------------------------------------------
2019-09-12 19:28:50.5313 | Thread: 6 | INFO  | renade.Renade        | Global timer triggered. (Current time: 12/09/2019 19:28:50 +03:00)
2019-09-12 19:28:50.5313 | Thread: 6 | INFO  | renade.Principal     | Removing temporary bans...
2019-09-12 19:28:51.1579 | Thread: 6 | INFO  | renade.Principal     | 0 ban(s) removed.
2019-09-12 19:28:51.1579 | Thread: 6 | INFO  | renade.Renade        | Global timer executed.
2019-09-12 19:28:51.1579 | Thread: 6 | INFO  | renade.Renade        | ------------------------------------------------------------------
2019-09-12 19:28:51.2575 | Thread: 1 | INFO  | renade.Renade        | Server time set.
2019-09-12 19:28:51.5596 | Thread: 1 | INFO  | renade.Renade        | Online: 0 (Authorized: 0 / Unauthorized: 0) - DeftEx has been connected.
2019-09-12 19:28:53.2443 | Thread: 1 | INFO  | renade.Renade        | Player DeftEx successfully logged in.
2019-09-12 19:28:55.1704 | Thread: 1 | INFO  | renade.Renade        | Online: 1 (Authorized: 1 / Unauthorized: 0) - DeftEx has been spawned.
2019-09-12 19:29:50.4890 | Thread: 10 | INFO  | renade.Renade        | ------------------------------------------------------------------
2019-09-12 19:29:50.4890 | Thread: 10 | INFO  | renade.Renade        | Global timer triggered. (Current time: 12/09/2019 19:29:50 +03:00)
2019-09-12 19:29:50.4890 | Thread: 10 | INFO  | renade.Principal     | Removing temporary bans...
2019-09-12 19:29:50.4890 | Thread: 10 | INFO  | renade.Principal     | 0 ban(s) removed.
2019-09-12 19:29:50.4890 | Thread: 10 | INFO  | renade.Renade        | Global timer executed.
2019-09-12 19:29:50.4890 | Thread: 10 | INFO  | renade.Renade        | ------------------------------------------------------------------
2019-09-12 19:29:50.4890 | Thread: 1 | INFO  | renade.Renade        | Server time set.
2019-09-12 19:30:16.1056 | Thread: 1 | INFO  | renade.Principal     | DeftEx has been permanently banned by social club name & hwid. Reason: 'fuckyou'; Category: None
2019-09-12 19:30:16.1056 | Thread: 1 | INFO  | renade.Principal     | DeftEx has been kicked with the reason of ban.
2019-09-12 19:30:16.1382 | Thread: 1 | INFO  | renade.Renade        | Online: 1 (Authorized: 1 / Unauthorized: 0) - DeftEx has been disconnected.
2019-09-12 19:30:34.2183 | Thread: 1 | INFO  | renade.Renade        | ==================================================================
2019-09-12 19:30:34.2355 | Thread: 1 | INFO  | renade.Renade        | Setting up RenadeMP...
2019-09-12 19:30:34.2355 | Thread: 1 | INFO  | renade.Renade        | Processing config...
2019-09-12 19:30:34.2355 | Thread: 1 | INFO  | renade.Renade        | Config processed.
2019-09-12 19:30:34.2355 | Thread: 1 | INFO  | renade.Renade        | Setting up database...
2019-09-12 19:30:34.2355 | Thread: 1 | INFO  | renade.Renade        | Database set up.
2019-09-12 19:30:34.2355 | Thread: 1 | INFO  | renade.Renade        | Setting up principal...
2019-09-12 19:30:34.2355 | Thread: 1 | INFO  | renade.Renade        | Principal set up.
2019-09-12 19:30:34.2355 | Thread: 1 | INFO  | renade.Renade        | Setting up global timer...
2019-09-12 19:30:34.2355 | Thread: 1 | INFO  | renade.Renade        | Global timer set up.
2019-09-12 19:30:34.2355 | Thread: 1 | INFO  | renade.Renade        | RenadeMP set up.
2019-09-12 19:30:34.2355 | Thread: 1 | INFO  | renade.Renade        | ==================================================================
2019-09-12 19:30:34.2542 | Thread: 5 | INFO  | renade.Renade        | ------------------------------------------------------------------
2019-09-12 19:30:34.2542 | Thread: 5 | INFO  | renade.Renade        | Global timer triggered. (Current time: 12/09/2019 19:30:34 +03:00)
2019-09-12 19:30:34.2712 | Thread: 5 | INFO  | renade.Principal     | Removing temporary bans...
2019-09-12 19:30:34.8006 | Thread: 1 | INFO  | renade.Renade        | Server time set.
2019-09-12 19:30:34.8530 | Thread: 5 | INFO  | renade.Principal     | 0 ban(s) removed.
2019-09-12 19:30:34.8530 | Thread: 5 | INFO  | renade.Renade        | Global timer executed.
2019-09-12 19:30:34.8530 | Thread: 5 | INFO  | renade.Renade        | ------------------------------------------------------------------
2019-09-12 19:30:42.3589 | Thread: 1 | INFO  | renade.Renade        | Online: 0 (Authorized: 0 / Unauthorized: 0) - DeftEx has been connected.
2019-09-12 19:30:42.3589 | Thread: 1 | INFO  | renade.Principal     | DeftEx has been kicked with the reason: 'Ban.'
2019-09-12 19:30:42.3889 | Thread: 1 | INFO  | renade.Renade        | Online: 0 (Authorized: 0 / Unauthorized: 0) - DeftEx has been disconnected.
2019-09-12 19:30:42.5227 | Thread: 1 | ERROR | renade.Renade        | renade.FailedToRemovePlayerFromOnlineListException: Couldn't remove DeftEx from online list. Found players in the list: 0
   at void renade.Renade.Event_OnPlayerDisconnected(Client player, DisconnectionType type, string reason) in C:\RAGEMP\server-files\bridge\resources\renade\Renade.cs:line 157
2019-09-12 19:34:08.8638 | Thread: 1 | INFO  | renade.Renade        | ==================================================================
2019-09-12 19:34:08.8791 | Thread: 1 | INFO  | renade.Renade        | Setting up RenadeMP...
2019-09-12 19:34:08.8791 | Thread: 1 | INFO  | renade.Renade        | Processing config...
2019-09-12 19:34:08.8791 | Thread: 1 | INFO  | renade.Renade        | Config processed.
2019-09-12 19:34:08.8791 | Thread: 1 | INFO  | renade.Renade        | Setting up database...
2019-09-12 19:34:08.8791 | Thread: 1 | INFO  | renade.Renade        | Database set up.
2019-09-12 19:34:08.8791 | Thread: 1 | INFO  | renade.Renade        | Setting up principal...
2019-09-12 19:34:08.8791 | Thread: 1 | INFO  | renade.Renade        | Principal set up.
2019-09-12 19:34:08.8791 | Thread: 1 | INFO  | renade.Renade        | Setting up global timer...
2019-09-12 19:34:08.8791 | Thread: 1 | INFO  | renade.Renade        | Global timer set up.
2019-09-12 19:34:08.8791 | Thread: 1 | INFO  | renade.Renade        | RenadeMP set up.
2019-09-12 19:34:08.8791 | Thread: 1 | INFO  | renade.Renade        | ==================================================================
2019-09-12 19:34:08.8862 | Thread: 8 | INFO  | renade.Renade        | ------------------------------------------------------------------
